y_true,logistic_regression,random_forest,gradient_boosting,svm,xgboost
1,0.909382376980445,0.7966666666666666,0.8927945907210918,0.8700694772461061,0.9192336
0,0.001106677535523532,0.01,1.739925214107638e-05,0.0016015472180082367,0.0010681322
0,0.0015785996271965599,0.02,1.592704636159442e-05,0.0013917838799020355,0.0050926907
1,0.9690038129630035,0.9,0.9999821597516049,0.9670146996122563,0.99706095
1,0.999674318137449,0.99,0.9998166816193333,0.9990164874001556,0.99799407
1,1.0,0.8533333333333334,0.9820066339693455,0.9999999999954343,0.9740534
0,0.006755107976400035,0.0033333333333333335,2.921860548389433e-05,0.010705410551699455,0.0023641833
1,0.9503498528663771,0.6266666666666667,0.47126793209767565,0.9445007747560644,0.94849336
1,0.9155298395109523,0.7066666666666667,0.9879256880303386,0.8297960262753488,0.9863614
1,0.9997784756353949,0.8866666666666667,0.9959038051869631,0.9995240707786539,0.99377114
1,0.9992789888231493,0.9933333333333333,0.9999910262500382,0.9991525602228672,0.99877673
1,0.9999999999976643,1.0,0.9999921232475464,0.9999999997873292,0.99961865
0,0.0014839757706817734,0.0,1.9933966068029176e-05,0.002548130025002796,0.00051380636
1,0.9999894833058316,0.9933333333333333,0.9999494300944158,0.9999623540336432,0.9960064
0,0.004116344350273963,0.0,0.00020942403029481353,0.005964492887072976,0.0026731344
0,0.08296527224021392,0.03,0.00011754263496890904,0.10945951838044189,0.0034482777
0,0.00648802784639779,0.0,5.769903937316379e-05,0.010318975271699324,0.0015571387
0,0.0020279158723416476,0.0,6.665775441388668e-05,0.004836998008750105,0.0034101072
0,0.00045956707325324594,0.0,1.5524862113507953e-06,0.000994033505057612,0.00033919813
0,0.0001484331005738272,0.01,0.00023497180579989455,0.0012107974252827535,0.0025377497
0,0.0025305577557598992,0.0,4.1864662911453e-05,0.006028592188390112,0.0016447925
0,0.3633484121926825,0.08333333333333333,0.0019183022760278924,0.5035043191194021,0.043071408
1,0.9964021397406798,0.9833333333333333,0.999992018651162,0.9944091324181202,0.99824584
0,0.00038426500765174887,0.17666666666666667,0.00013637884397027964,0.0028203268896754416,0.00584209
1,1.0,1.0,0.9999610966023565,0.9999999999998208,0.9986029
0,0.012532469276648238,0.0,7.103255756666007e-05,0.014868310705297318,0.00083886215
1,0.944432589941982,0.87,0.9996948850075008,0.927727981495054,0.98940176
0,0.00023949958424850093,0.02,0.00019116427301311408,0.0007716559084331524,0.0033145973
1,0.9999999801586119,1.0,0.9999933981400998,0.999999820426807,0.99943167
1,0.9999999999815887,1.0,0.9999883036217573,0.9999999994852662,0.9996681
0,0.010066380482635046,0.26,0.00015608317663353365,0.01719666779289493,0.017583892
0,0.007774121284182869,0.13666666666666666,1.3090683623661906e-05,0.01868767073788624,0.0034920387
